sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Closed position,615881745,USTEC,1,Sell,20296.06,20193.61,2024/10/15 17:33:15,2024/10/15 17:40:02,2024/10/15,2024/10/15,102.45,0,0,102.45,0,0,102.4,Win,0.11,1,,deusfund-sqx1
Closed position,617133030,USTEC,8,Buy,20174.23,20178.93,2024/10/16 21:00:19,2024/10/16 22:45:00,2024/10/16,2024/10/16,37.6,0,0,37.6,0,0,4.7,Win,1.74,5,,deusfund-sqx1
Closed position,623008436,USTEC,5,Sell,20199.6,20097.02,2024/10/23 18:13:55,2024/10/23 19:31:37,2024/10/23,2024/10/23,512.9,0,0,512.9,0,0,102.6,Win,1.3,1,,deusfund-sqx1
Closed position,627084843,USTEC,5,Buy,20307.32,20409.05,2024/10/25 11:00:05,2024/10/25 16:34:28,2024/10/25,2024/10/25,508.65,0,0,508.65,0,0,101.7,Win,5.57,1,,deusfund-sqx1
Closed position,628066767,USTEC,5,Buy,20449.72,20482.67,2024/10/25 16:43:36,2024/10/25 19:00:00,2024/10/25,2024/10/25,164.75,0,0,164.75,0,0,33.0,Win,2.27,2,,deusfund-sqx1
Closed position,632600568,USTEC,8,Buy,20405.82,20608.77,2024/10/29 17:00:03,2024/10/29 22:45:00,2024/10/29,2024/10/29,1623.6,0,0,1623.6,0,0,203.0,Win,5.75,5,,deusfund-sqx1
Closed position,634377553,USTEC,5,Sell,20439.66,20542.33,2024/10/30 16:42:05,2024/10/30 17:04:39,2024/10/30,2024/10/30,-513.35,0,0,-513.35,0,0,-102.7,Loss,0.38,1,,deusfund-sqx1
Closed position,634966875,XAUUSD,0.4,Buy,2788.7,2780.57,2024/10/31 05:36:45,2024/10/31 09:57:54,2024/10/31,2024/10/31,-325.2,0,-2.8,-328.0,0,0,-81.3,Loss,4.35,6,,deusfund-sqx1
Closed position,635796989,USTEC,5,Sell,19971.18,19979.31,2024/10/31 17:47:59,2024/11/01 12:00:00,2024/10/31,2024/11/01,-40.65,4.15,0,-36.50,0,0,-8.1,Loss,18.2,2,,deusfund-sqx1
Closed position,637312073,USTEC,8,Buy,20127.08,20052.53,2024/11/01 20:24:01,2024/11/01 20:36:47,2024/11/01,2024/11/01,-596.4,0,0,-596.4,0,0,-74.6,Loss,0.21,9,,deusfund-sqx1
Closed position,637087436,USTEC,8,Buy,20068.58,20048.66,2024/11/01 17:08:08,2024/11/01 22:45:00,2024/11/01,2024/11/01,-159.36,0,0,-159.36,0,0,-19.9,Loss,5.61,5,,deusfund-sqx1
Closed position,637386374,USTEC,8,Buy,20071.08,20048.66,2024/11/01 22:08:50,2024/11/01 22:45:00,2024/11/01,2024/11/01,-179.36,0,0,-179.36,0,0,-22.4,Loss,0.6,9,,deusfund-sqx1
Closed position,638065273,USTEC,5,Sell,20007.6,20118.92,2024/11/04 01:00:17,2024/11/04 04:29:26,2024/11/04,2024/11/04,-556.6,0,0,-556.6,0,0,-111.3,Loss,3.49,2,,deusfund-sqx1
Closed position,639230867,USTEC,5,Sell,20016.95,19996.94,2024/11/04 14:33:01,2024/11/05 08:00:00,2024/11/04,2024/11/05,100.05,4.15,0,104.20,0,0,20.0,Win,17.45,2,,deusfund-sqx1
Closed position,641331222,USTEC,5,Buy,20214.24,20146.57,2024/11/05 17:00:03,2024/11/05 17:55:29,2024/11/05,2024/11/05,-338.35,0,0,-338.35,0,0,-67.7,Loss,0.92,2,,deusfund-sqx1
Closed position,641486345,USTEC,8,Buy,20207.74,20207.57,2024/11/05 18:31:02,2024/11/05 20:34:22,2024/11/05,2024/11/05,-1.36,0,0,-1.36,0,0,-0.2,Loss,2.06,9,,deusfund-sqx1
Closed position,641320129,USTEC,8,Buy,20171.74,20185.69,2024/11/05 16:55:34,2024/11/05 20:37:52,2024/11/05,2024/11/05,111.6,0,0,111.6,0,0,14.0,Win,3.7,7,,deusfund-sqx1
Closed position,641320128,USTEC,8,Buy,20171.74,20185.69,2024/11/05 16:55:34,2024/11/05 20:37:52,2024/11/05,2024/11/05,111.6,0,0,111.6,0,0,14.0,Win,3.7,8,,deusfund-sqx1
Closed position,641517910,USTEC,8,Buy,20234.37,20204.57,2024/11/05 18:55:15,2024/11/05 22:45:00,2024/11/05,2024/11/05,-238.4,0,0,-238.4,0,0,-29.8,Loss,3.83,5,,deusfund-sqx1
Closed position,641741449,USTEC,8,Buy,20239.74,20204.57,2024/11/05 22:33:57,2024/11/05 22:45:00,2024/11/05,2024/11/05,-281.36,0,0,-281.36,0,0,-35.2,Loss,0.18,9,,deusfund-sqx1
Closed position,643832821,USTEC,8,Buy,20701.27,20807.47,2024/11/06 18:39:41,2024/11/06 22:45:01,2024/11/06,2024/11/06,849.6,0,0,849.6,0,0,106.2,Win,4.09,9,,deusfund-sqx1
Closed position,645654913,USTEC,8,Buy,20931.4,21126.88,2024/11/07 16:30:59,2024/11/07 22:45:00,2024/11/07,2024/11/07,1563.84,0,0,1563.84,0,0,195.5,Win,6.23,9,,deusfund-sqx1
Closed position,653851371,USTEC,5,Buy,21161.64,21052.47,2024/11/13 20:46:18,2024/11/13 22:54:40,2024/11/13,2024/11/13,-545.85,0,0,-545.85,0,0,-109.2,Loss,2.14,1,,deusfund-sqx1
Closed position,659790663,USTEC,8,Buy,20529.98,20559.43,2024/11/18 17:15:31,2024/11/18 22:45:00,2024/11/18,2024/11/18,235.6,0,0,235.6,0,0,29.4,Win,5.49,5,,deusfund-sqx1
Closed position,661841983,USTEC,5,Buy,20689.54,20733.04,2024/11/19 20:45:18,2024/11/20 03:11:08,2024/11/19,2024/11/20,217.5,-16.55,0,200.95,0,0,43.5,Win,6.43,1,,deusfund-sqx1
Closed position,662964274,USTEC,5,Sell,20533.24,20431.04,2024/11/20 17:04:47,2024/11/20 17:17:26,2024/11/20,2024/11/20,511,0,0,511,0,0,102.2,Win,0.21,1,,deusfund-sqx1
Closed position,664742288,USTEC,5,Buy,20832.96,20769.43,2024/11/21 16:32:01,2024/11/21 16:33:56,2024/11/21,2024/11/21,-317.65,0,0,-317.65,0,0,-63.5,Loss,0.03,2,,deusfund-sqx1
Closed position,668033518,USTEC,5,Sell,20758.96,20864.2,2024/11/25 19:22:01,2024/11/26 01:02:07,2024/11/25,2024/11/26,-526.2,4.15,0,-522.05,0,0,-105.2,Loss,5.67,1,,deusfund-sqx1
Closed position,669655508,USTEC,8,Buy,20922.62,20910.32,2024/11/26 21:04:49,2024/11/26 22:45:01,2024/11/26,2024/11/26,-98.4,0,0,-98.4,0,0,-12.3,Loss,1.67,9,,deusfund-sqx1
Closed position,670851362,USTEC,5,Sell,20665.28,20767.95,2024/11/27 18:01:47,2024/11/27 21:48:39,2024/11/27,2024/11/27,-513.35,0,0,-513.35,0,0,-102.7,Loss,3.78,1,,deusfund-sqx1
Closed position,671852401,USTEC,8,Buy,20832.55,20837.15,2024/11/28 16:30:20,2024/11/28 18:31:49,2024/11/28,2024/11/28,36.8,0,0,36.8,0,0,4.6,Win,2.02,9,,deusfund-sqx1
